IDpol,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Region,Area
115,0,0.54,6,19,29,137,B2,Regular,R17,Suburban
116,0,0.84,6,12,42,130,B3,Regular,R9,Suburban
117,0,0.91,10,2,45,101,B2,Regular,R13,Suburban
118,0,0.62,7,12,60,129,B4,Diesel,R22,Urban
119,0,0.71,7,1,64,66,B4,Regular,R13,Rural
120,0,0.92,10,8,66,114,B4,Regular,R5,Rural
121,0,0.94,6,12,71,70,B3,Diesel,R14,Rural
122,0,0.62,9,7,35,103,B3,Diesel,R7,Rural
123,0,0.78,5,15,44,98,B1,Regular,R5,Urban
124,1,0.6,4,2,89,71,B3,Regular,R12,Rural
125,0,0.55,7,12,23,118,B2,Regular,R3,Rural
126,0,0.96,10,3,86,113,B1,Diesel,R9,Suburban
127,0,0.91,11,17,88,85,B3,Regular,R10,Urban
128,2,0.88,5,1,39,70,B1,Diesel,R1,Suburban
129,0,0.52,7,19,76,105,B3,Regular,R14,Rural
130,0,0.92,11,14,64,122,B2,Diesel,R1,Suburban
131,0,0.72,6,16,85,140,B4,Diesel,R10,Rural
132,0,0.67,10,9,49,97,B4,Regular,R11,Suburban
133,0,0.77,5,0,18,125,B2,Regular,R20,Urban
134,0,0.55,10,5,71,67,B1,Diesel,R2,Suburban
135,0,0.88,9,2,63,148,B4,Regular,R2,Suburban
136,0,0.79,9,18,58,64,B3,Diesel,R11,Suburban
137,1,0.59,8,6,58,93,B3,Diesel,R8,Suburban
138,0,0.59,4,12,25,143,B1,Regular,R3,Rural
139,0,0.59,4,12,49,94,B1,Diesel,R9,Suburban
140,1,0.53,7,16,47,146,B2,Regular,R16,Urban
141,0,0.79,4,0,63,85,B4,Diesel,R16,Suburban
142,0,0.92,10,13,69,89,B1,Regular,R10,Urban
143,0,0.51,10,2,78,100,B4,Regular,R6,Suburban
144,0,0.52,8,13,30,79,B4,Regular,R20,Rural
145,0,0.79,11,0,57,75,B3,Diesel,R20,Urban
146,0,0.91,9,15,78,134,B1,Regular,R20,Urban
147,0,0.66,11,9,61,80,B2,Diesel,R11,Suburban
148,0,0.67,11,12,79,105,B1,Diesel,R8,Rural
149,0,0.8,5,3,61,110,B4,Regular,R20,Rural
150,0,0.64,5,8,65,66,B3,Diesel,R1,Urban
151,0,0.51,9,13,76,130,B1,Regular,R6,Suburban
152,0,0.87,6,3,74,147,B1,Diesel,R8,Rural
153,0,0.81,9,9,28,73,B1,Diesel,R14,Rural
154,0,0.79,5,7,42,146,B2,Regular,R3,Rural
155,0,0.87,11,2,78,53,B2,Regular,R2,Suburban
156,0,0.84,7,6,63,58,B2,Diesel,R22,Suburban
157,0,0.6,8,9,71,51,B2,Regular,R1,Urban
158,0,0.68,11,2,51,84,B3,Regular,R11,Suburban
159,0,0.56,9,1,24,87,B3,Diesel,R21,Rural
160,0,0.56,6,14,79,94,B2,Regular,R6,Urban
161,0,0.84,11,8,74,64,B4,Diesel,R8,Suburban
162,0,0.93,7,14,22,91,B2,Regular,R7,Rural
163,1,0.98,9,16,52,52,B2,Regular,R6,Rural
164,0,0.81,7,6,54,80,B4,Diesel,R18,Urban
165,0,0.59,11,19,77,101,B1,Diesel,R12,Urban
166,1,0.55,9,17,82,90,B4,Regular,R8,Suburban
167,0,0.91,7,14,33,106,B4,Regular,R21,Suburban
168,0,0.79,10,17,47,91,B3,Diesel,R19,Urban
169,0,0.81,4,11,59,102,B1,Regular,R5,Urban
170,0,0.89,7,7,78,105,B4,Regular,R19,Rural
171,0,0.85,10,1,65,136,B2,Regular,R9,Suburban
172,0,0.92,11,1,79,125,B4,Regular,R12,Rural
173,0,0.53,4,4,81,121,B3,Diesel,R15,Urban
174,0,0.87,5,0,74,102,B4,Regular,R13,Urban
175,0,0.93,4,3,85,134,B2,Diesel,R13,Urban
176,0,0.64,7,5,63,134,B1,Diesel,R21,Suburban
177,0,0.82,8,12,45,81,B3,Regular,R21,Urban
178,0,0.66,8,18,20,130,B1,Diesel,R5,Urban
179,0,0.98,5,10,54,103,B3,Regular,R2,Suburban
180,0,0.52,7,12,65,86,B2,Regular,R19,Urban
181,0,0.79,4,7,36,137,B3,Diesel,R8,Suburban
182,0,0.58,8,6,34,57,B1,Diesel,R14,Urban
183,0,0.86,9,12,57,131,B1,Diesel,R6,Suburban
184,0,0.59,6,0,67,60,B4,Regular,R7,Suburban
185,0,0.62,7,5,46,103,B1,Regular,R14,Suburban
186,0,0.75,10,6,68,109,B4,Regular,R6,Suburban
187,0,0.96,10,15,59,59,B1,Diesel,R16,Rural
188,0,0.61,9,14,46,139,B4,Diesel,R4,Suburban
189,0,0.57,9,19,83,119,B2,Diesel,R7,Suburban
190,0,0.88,7,1,34,130,B4,Diesel,R16,Suburban
191,0,0.75,6,15,48,136,B1,Diesel,R4,Suburban
192,0,0.96,8,16,69,91,B2,Regular,R7,Urban
193,0,0.57,6,14,56,86,B3,Regular,R21,Urban
194,0,0.82,5,2,77,141,B1,Diesel,R2,Suburban
195,0,0.62,4,3,68,129,B4,Diesel,R8,Suburban
196,0,0.58,4,11,33,125,B3,Diesel,R10,Rural
197,0,0.84,9,4,31,107,B4,Diesel,R2,Suburban
198,0,0.8,8,16,59,134,B3,Regular,R6,Suburban
199,0,0.88,6,5,68,108,B2,Diesel,R4,Suburban
200,0,0.65,9,9,41,73,B1,Diesel,R21,Urban
201,0,0.72,7,17,60,77,B2,Diesel,R1,Suburban
202,0,0.7,9,9,36,86,B1,Regular,R6,Suburban
203,0,0.99,7,5,78,70,B3,Regular,R12,Rural
204,0,0.65,7,5,80,82,B2,Diesel,R14,Urban
205,0,0.65,5,19,43,51,B1,Regular,R15,Rural
206,0,0.68,5,14,52,132,B3,Diesel,R18,Suburban
207,0,0.78,7,3,84,77,B2,Diesel,R17,Rural
208,0,0.63,11,15,73,64,B2,Diesel,R9,Suburban
209,1,0.96,8,7,57,50,B2,Regular,R15,Suburban
210,0,0.63,5,6,46,77,B2,Diesel,R18,Urban
211,0,0.95,5,18,23,99,B4,Diesel,R21,Rural
212,0,0.55,4,16,69,84,B3,Regular,R18,Suburban
213,0,0.83,9,12,18,145,B4,Regular,R5,Rural
214,0,0.95,4,14,69,77,B3,Diesel,R16,Urban
215,0,0.58,8,1,41,58,B3,Diesel,R9,Suburban
216,0,0.98,5,9,51,73,B3,Regular,R22,Urban
217,0,0.73,10,12,24,112,B1,Regular,R3,Rural
218,0,0.97,11,17,28,53,B3,Regular,R12,Rural
219,0,0.84,5,10,53,105,B2,Diesel,R14,Rural
220,0,0.65,6,12,37,90,B4,Diesel,R1,Suburban
221,0,0.59,8,18,80,116,B2,Regular,R9,Suburban
222,1,0.65,10,4,80,97,B2,Regular,R9,Suburban
223,1,0.55,9,2,86,135,B4,Diesel,R20,Urban
224,0,0.57,9,18,47,107,B2,Regular,R13,Rural
225,1,0.55,10,12,47,88,B1,Diesel,R8,Rural
226,2,0.71,9,4,39,74,B2,Diesel,R11,Rural
227,0,0.9,11,11,78,109,B2,Diesel,R14,Urban
228,0,0.57,10,13,38,135,B4,Regular,R16,Suburban
229,0,0.57,8,5,54,96,B2,Diesel,R11,Urban
230,0,0.82,10,8,44,147,B4,Regular,R19,Rural
231,0,0.6,10,16,52,110,B3,Regular,R22,Rural
232,0,0.55,6,7,55,133,B3,Regular,R10,Urban
233,1,0.58,6,12,77,149,B1,Regular,R8,Suburban
234,0,0.96,4,4,87,76,B4,Diesel,R11,Suburban
235,0,0.91,8,16,49,145,B4,Diesel,R8,Rural
236,0,0.68,8,2,44,91,B4,Diesel,R20,Urban
237,1,0.83,6,5,20,101,B1,Regular,R10,Suburban
238,0,0.77,7,13,66,142,B1,Diesel,R17,Urban
239,0,0.84,7,14,47,97,B2,Diesel,R11,Rural
240,0,0.84,4,13,39,81,B4,Diesel,R12,Rural
241,0,0.81,11,10,36,73,B1,Diesel,R10,Rural
242,0,0.63,7,10,48,52,B3,Regular,R20,Rural
243,0,0.52,7,8,37,76,B3,Regular,R17,Suburban
244,0,0.73,7,5,36,122,B4,Diesel,R3,Rural
245,0,0.95,11,14,19,89,B3,Regular,R7,Suburban
246,0,0.78,5,11,57,72,B2,Regular,R3,Suburban
247,0,0.92,4,5,56,56,B2,Regular,R17,Urban
248,1,1.0,6,0,89,130,B4,Diesel,R8,Rural
249,0,0.58,7,15,71,86,B1,Diesel,R21,Suburban
250,0,0.85,9,19,44,56,B1,Regular,R22,Urban
251,0,0.84,10,14,29,143,B1,Regular,R19,Urban
252,0,0.99,5,1,88,126,B1,Regular,R14,Rural
253,0,0.99,11,16,34,131,B4,Regular,R5,Rural
254,0,0.84,11,2,27,144,B2,Diesel,R19,Urban
255,0,0.62,11,2,36,71,B4,Regular,R13,Suburban
256,0,0.9,7,4,47,127,B4,Diesel,R18,Rural
257,0,0.55,10,16,47,131,B3,Regular,R11,Urban
258,0,0.89,10,16,42,148,B2,Diesel,R12,Urban
259,0,0.96,5,19,83,66,B1,Regular,R8,Suburban
260,0,0.69,4,5,52,68,B2,Diesel,R12,Suburban
261,0,0.82,11,0,68,144,B3,Diesel,R1,Urban
262,0,0.72,9,6,88,88,B4,Regular,R18,Suburban
263,0,0.72,9,14,88,85,B2,Regular,R2,Rural
264,0,0.66,9,6,44,64,B3,Diesel,R12,Urban
265,0,0.88,11,18,27,112,B4,Diesel,R19,Suburban
266,0,0.97,7,19,60,78,B1,Regular,R7,Suburban
267,0,0.97,5,10,72,109,B2,Regular,R7,Suburban
268,0,0.59,11,13,88,105,B1,Regular,R1,Suburban
269,0,0.94,9,12,23,89,B1,Regular,R18,Urban
270,0,0.87,10,19,23,65,B3,Diesel,R8,Suburban
271,0,0.63,11,8,65,82,B3,Diesel,R10,Rural
272,0,0.53,10,8,19,138,B4,Diesel,R1,Rural
273,0,0.63,8,15,68,65,B1,Regular,R15,Urban
274,0,0.96,11,11,78,79,B3,Regular,R15,Urban
275,0,0.82,8,9,36,147,B3,Regular,R4,Rural
276,0,0.86,5,5,19,115,B1,Diesel,R10,Rural
277,0,0.63,11,17,68,93,B4,Regular,R8,Urban
278,0,0.86,7,1,43,87,B1,Diesel,R14,Rural
279,1,0.51,7,19,87,100,B4,Regular,R13,Rural
280,0,0.69,4,8,37,109,B4,Diesel,R21,Urban
281,0,0.81,4,18,40,67,B3,Diesel,R17,Urban
282,0,0.57,9,5,71,54,B1,Diesel,R7,Suburban
283,0,0.91,6,1,32,89,B1,Regular,R6,Suburban
284,0,0.62,10,14,23,55,B3,Regular,R9,Rural
285,0,0.83,4,16,52,125,B2,Regular,R20,Urban
286,1,0.7,7,15,25,61,B2,Regular,R20,Suburban
287,0,0.8,10,7,74,61,B1,Diesel,R8,Rural
288,0,0.55,6,9,67,122,B3,Diesel,R14,Rural
289,0,0.51,4,9,66,71,B4,Regular,R20,Rural
290,0,0.95,5,17,38,98,B4,Regular,R3,Rural
291,0,0.63,8,9,53,99,B1,Regular,R13,Urban
292,0,0.91,4,8,88,129,B3,Regular,R21,Rural
293,0,1.0,11,18,86,53,B1,Diesel,R9,Suburban
294,0,0.61,4,0,75,99,B1,Regular,R21,Urban
295,0,0.63,11,3,80,52,B3,Diesel,R9,Rural
296,1,0.83,5,2,33,65,B1,Diesel,R22,Suburban
297,0,0.98,7,9,23,63,B4,Diesel,R22,Suburban
298,0,0.96,9,11,69,113,B2,Regular,R11,Urban
299,0,0.75,5,17,19,90,B4,Regular,R6,Urban
300,0,0.9,9,19,35,117,B2,Regular,R12,Urban
301,0,0.57,4,5,52,108,B3,Regular,R4,Suburban
302,0,0.99,7,1,56,51,B1,Diesel,R4,Suburban
303,0,0.98,6,9,18,59,B2,Regular,R22,Rural
304,0,0.58,4,1,54,124,B3,Diesel,R17,Urban
305,0,0.65,5,8,38,139,B3,Regular,R7,Urban
306,0,0.55,6,9,18,75,B3,Diesel,R6,Urban
307,0,0.64,8,1,21,53,B4,Diesel,R20,Urban
308,0,0.91,6,7,75,139,B4,Diesel,R8,Suburban
309,0,0.69,5,16,18,77,B2,Regular,R7,Urban
310,0,0.54,10,16,30,51,B2,Diesel,R8,Suburban
311,0,0.67,6,3,63,115,B4,Diesel,R9,Suburban
312,0,0.99,5,17,64,65,B2,Regular,R1,Urban
313,0,0.81,10,11,24,106,B2,Diesel,R3,Suburban
314,0,0.71,4,16,68,72,B1,Regular,R18,Suburban
315,0,0.58,10,8,20,72,B2,Regular,R19,Urban
316,0,0.99,7,18,67,126,B3,Diesel,R11,Urban
317,0,0.91,8,13,43,70,B1,Diesel,R16,Rural
318,0,0.64,10,13,48,74,B2,Regular,R18,Suburban
319,0,0.54,7,16,79,107,B1,Diesel,R6,Suburban
320,0,0.53,7,1,43,86,B3,Regular,R2,Rural
321,0,0.56,7,7,84,98,B2,Regular,R4,Rural
322,0,0.79,10,4,72,126,B1,Diesel,R5,Urban
323,0,0.96,5,6,45,64,B2,Regular,R21,Rural
324,0,0.75,11,15,61,77,B1,Diesel,R14,Urban
325,0,0.92,5,15,55,116,B1,Diesel,R1,Urban
326,0,0.72,8,16,47,136,B3,Regular,R22,Urban
327,0,0.85,5,6,83,53,B3,Diesel,R14,Suburban
328,0,0.87,9,19,25,96,B2,Diesel,R21,Suburban
329,1,0.59,5,7,31,99,B4,Diesel,R13,Urban
330,0,0.68,5,7,79,109,B2,Diesel,R22,Rural
331,0,0.82,5,10,80,111,B1,Diesel,R16,Suburban
332,0,0.54,4,14,83,116,B3,Diesel,R4,Suburban
333,0,0.68,8,17,57,121,B3,Regular,R6,Rural
334,1,0.77,9,5,30,92,B1,Diesel,R9,Suburban
335,1,1.0,5,11,34,138,B4,Regular,R1,Rural
336,0,0.74,11,14,32,107,B3,Regular,R22,Rural
337,0,0.91,8,5,50,101,B4,Diesel,R17,Suburban
338,0,0.72,6,17,33,125,B3,Diesel,R4,Rural
339,0,0.9,4,19,30,118,B1,Regular,R6,Rural
340,0,0.8,10,8,40,146,B2,Regular,R16,Urban
341,0,0.94,11,7,53,95,B2,Diesel,R7,Urban
342,0,0.71,5,13,60,74,B4,Regular,R5,Suburban
343,0,0.8,11,18,67,74,B2,Regular,R9,Rural
344,0,0.82,9,18,30,84,B1,Diesel,R19,Suburban
345,0,0.71,4,7,47,110,B2,Regular,R1,Suburban
346,0,0.57,9,1,74,64,B4,Regular,R8,Urban
347,0,0.55,10,3,47,139,B1,Diesel,R20,Rural
348,0,0.51,10,5,88,123,B1,Diesel,R4,Suburban
349,0,0.94,11,2,27,137,B3,Diesel,R17,Suburban
350,0,0.62,4,2,83,84,B3,Diesel,R1,Urban
351,0,0.61,6,18,56,78,B2,Regular,R2,Urban
352,0,0.87,11,10,54,87,B4,Regular,R21,Urban
353,0,0.66,8,9,20,118,B1,Regular,R14,Suburban
354,0,0.75,4,11,51,73,B2,Regular,R22,Rural
355,0,0.58,7,13,55,68,B2,Regular,R2,Urban
356,0,0.98,10,17,31,95,B3,Diesel,R1,Urban
357,0,0.93,6,8,81,98,B2,Regular,R13,Rural
358,1,0.93,11,14,56,93,B2,Regular,R8,Suburban
359,0,0.7,10,2,71,122,B3,Diesel,R22,Suburban
360,0,0.88,7,10,19,75,B2,Regular,R9,Rural
361,0,0.57,6,9,60,74,B2,Regular,R20,Urban
362,1,0.5,10,17,70,84,B1,Diesel,R21,Rural
363,0,0.51,7,3,20,85,B2,Diesel,R2,Suburban
364,0,0.79,7,12,58,63,B3,Regular,R17,Suburban
365,0,0.73,10,5,25,105,B3,Diesel,R6,Urban
366,0,0.76,11,12,80,55,B1,Regular,R3,Urban
367,0,0.5,10,19,82,81,B3,Regular,R20,Rural
368,0,0.71,9,4,21,75,B3,Diesel,R17,Suburban
369,0,0.86,4,19,85,64,B3,Regular,R6,Suburban
370,0,0.72,4,13,27,98,B2,Diesel,R8,Rural
371,0,0.87,6,12,67,144,B1,Diesel,R14,Urban
372,0,0.62,8,13,40,105,B4,Regular,R10,Suburban
373,0,0.91,10,7,78,86,B1,Regular,R20,Suburban
374,1,0.79,11,15,64,102,B1,Diesel,R10,Urban
375,0,0.61,9,12,20,107,B1,Diesel,R15,Suburban
376,1,0.62,4,14,34,132,B4,Diesel,R8,Urban
377,0,0.81,4,18,39,127,B4,Diesel,R11,Rural
378,0,0.91,11,0,33,85,B3,Regular,R16,Urban
379,0,0.71,9,1,20,60,B2,Diesel,R3,Urban
380,0,0.63,5,17,69,76,B3,Regular,R15,Rural
381,0,0.93,9,18,50,51,B3,Diesel,R13,Suburban
382,0,0.83,11,7,59,71,B4,Diesel,R11,Suburban
383,0,0.72,4,2,19,115,B3,Regular,R14,Urban
384,0,0.74,8,13,56,133,B3,Regular,R7,Urban
385,0,0.6,5,8,63,66,B4,Diesel,R19,Rural
386,0,0.81,11,7,65,53,B1,Regular,R15,Rural
387,0,0.68,11,16,44,63,B1,Regular,R6,Suburban
388,0,1.0,7,15,32,56,B4,Regular,R20,Suburban
389,0,0.74,9,9,24,128,B2,Regular,R22,Rural
390,0,0.74,7,9,74,143,B3,Diesel,R7,Urban
391,0,0.78,5,5,59,65,B1,Regular,R14,Rural
392,0,0.96,5,16,26,115,B4,Diesel,R22,Suburban
393,0,0.9,5,15,23,68,B2,Diesel,R4,Urban
394,0,0.73,6,14,74,50,B3,Diesel,R9,Rural
395,0,0.86,9,13,47,80,B4,Diesel,R7,Suburban
396,0,0.79,11,3,72,53,B4,Regular,R15,Urban
397,0,0.75,10,3,71,140,B4,Diesel,R3,Urban
398,0,0.6,8,1,44,107,B3,Diesel,R5,Urban
399,0,0.73,8,10,76,105,B1,Regular,R17,Urban
400,0,0.62,11,3,24,102,B3,Regular,R1,Urban
401,0,0.96,7,15,57,138,B3,Regular,R1,Rural
402,0,0.67,11,3,89,135,B1,Diesel,R16,Urban
403,0,0.98,7,0,19,92,B4,Regular,R14,Rural
404,0,0.77,10,18,31,123,B2,Diesel,R11,Urban
405,1,0.82,7,1,27,146,B2,Diesel,R14,Suburban
406,0,0.77,9,8,67,98,B1,Diesel,R8,Urban
407,0,0.56,4,12,35,109,B1,Regular,R19,Rural
408,2,0.69,7,17,35,143,B4,Diesel,R2,Suburban
409,0,0.55,5,15,33,143,B2,Diesel,R10,Suburban
410,0,0.81,7,15,69,65,B2,Regular,R5,Rural
411,0,0.72,5,9,86,122,B4,Diesel,R15,Suburban
412,0,0.89,6,8,69,130,B1,Regular,R1,Rural
413,0,0.61,4,10,48,148,B1,Regular,R2,Urban
414,1,0.58,4,3,40,109,B4,Regular,R19,Urban
415,0,0.7,10,9,59,96,B1,Regular,R22,Rural
416,0,0.96,9,2,79,64,B3,Regular,R17,Urban
417,0,0.86,11,5,67,112,B1,Regular,R15,Suburban
418,0,0.71,9,2,32,77,B3,Diesel,R18,Urban
419,0,0.76,8,8,61,69,B2,Regular,R21,Urban
420,0,0.54,6,2,59,146,B2,Diesel,R8,Suburban
421,0,0.99,10,17,62,112,B1,Diesel,R21,Suburban
422,0,0.83,9,7,52,82,B4,Diesel,R14,Urban
423,0,0.64,5,7,39,85,B1,Diesel,R8,Urban
424,1,0.79,6,14,55,62,B4,Regular,R22,Urban
425,0,0.55,4,12,87,111,B2,Diesel,R8,Rural
426,0,0.98,11,6,81,117,B2,Regular,R19,Rural
427,0,0.59,11,18,24,72,B2,Diesel,R13,Urban
428,1,0.82,5,7,61,121,B4,Regular,R5,Urban
429,1,0.62,10,9,24,62,B4,Regular,R10,Suburban
430,0,0.86,10,16,83,137,B2,Diesel,R7,Urban
431,0,0.89,6,0,77,89,B1,Regular,R9,Urban
432,1,0.84,4,12,18,79,B4,Regular,R14,Rural
433,0,0.81,9,12,79,143,B3,Regular,R6,Rural
434,1,0.95,5,15,35,74,B2,Regular,R10,Rural
435,0,0.54,5,8,24,146,B4,Diesel,R1,Suburban
436,0,0.67,4,9,71,122,B2,Diesel,R11,Urban
437,0,0.62,5,5,84,75,B3,Diesel,R8,Rural
438,0,0.99,11,4,27,73,B1,Diesel,R6,Suburban
439,0,0.69,9,1,78,146,B3,Regular,R17,Urban
440,0,0.87,9,10,76,88,B1,Diesel,R4,Urban
441,0,0.84,9,8,76,138,B1,Diesel,R6,Suburban
442,0,0.61,4,5,86,128,B4,Regular,R15,Urban
443,1,0.62,7,7,80,110,B1,Regular,R10,Suburban
444,0,0.64,7,8,25,98,B1,Diesel,R17,Suburban
445,0,0.71,10,8,72,90,B1,Diesel,R10,Rural
446,0,0.62,10,7,23,119,B2,Diesel,R5,Suburban
447,0,0.51,11,11,18,69,B4,Regular,R19,Rural
448,0,0.94,5,7,73,93,B4,Diesel,R7,Urban
449,0,0.98,9,2,27,65,B1,Regular,R19,Rural
